LABELS
SEPARATOR TAB
DATA
EPI4873942|NA|A/Madagascar/03987/2025|EPI_ISL_20282196|A_/_H3N2	Madagascar/03987/2025
EPI5042205|NA|A/Madagascar/04314/2025|EPI_ISL_20337066|A_/_H3N2	Madagascar/04314/2025
EPI4832085|NA|A/Madagascar/03966/2025|EPI_ISL_20264913|A_/_H3N2	Madagascar/03966/2025
EPI4873950|NA|A/Madagascar/03996/2025|EPI_ISL_20282197|A_/_H3N2	Madagascar/03996/2025
EPI4832023|NA|A/Madagascar/03884/2025|EPI_ISL_20264905|A_/_H3N2	Madagascar/03884/2025
EPI4995288|NA|A/Madagascar/04242/2025|EPI_ISL_20325355|A_/_H3N2	Madagascar/04242/2025
EPI4874075|NA|A/Madagascar/04105/2025|EPI_ISL_20282213|A_/_H3N2	Madagascar/04105/2025
EPI4995351|NA|A/Madagascar/04313/2025|EPI_ISL_20325383|A_/_H3N2	Madagascar/04313/2025
EPI4974696|NA|A/Madagascar/04306/2025|EPI_ISL_20316008|A_/_H3N2	Madagascar/04306/2025
EPI4783975|NA|A/Madagascar/03706/2025|EPI_ISL_20240067|A_/_H3N2	Madagascar/03706/2025
EPI5042260|NA|A/Madagascar/04347/2025|EPI_ISL_20337073|A_/_H3N2	Madagascar/04347/2025
EPI4974628|NA|A/Madagascar/04169/2025|EPI_ISL_20315999|A_/_H3N2	Madagascar/04169/2025
EPI4874006|NA|A/Madagascar/04039/2025|EPI_ISL_20282204|A_/_H3N2	Madagascar/04039/2025
EPI5191610|NA|A/Madagascar/00442/2026|EPI_ISL_20379684|A_/_H3N2	Madagascar/00442/2026
EPI4874028|NA|A/Madagascar/04073/2025|EPI_ISL_20282207|A_/_H3N2	Madagascar/04073/2025
EPI5042282|NA|A/Madagascar/04375/2025|EPI_ISL_20337076|A_/_H3N2	Madagascar/04375/2025
EPI4873982|NA|A/Madagascar/04035/2025|EPI_ISL_20282201|A_/_H3N2	Madagascar/04035/2025
EPI4974650|NA|A/Madagascar/04208/2025|EPI_ISL_20316002|A_/_H3N2	Madagascar/04208/2025
EPI4832054|NA|A/Madagascar/03936/2025|EPI_ISL_20264909|A_/_H3N2	Madagascar/03936/2025
EPI4832046|NA|A/Madagascar/03932/2025|EPI_ISL_20264908|A_/_H3N2	Madagascar/03932/2025
EPI4995203|NA|A/Madagascar/04114/2025|EPI_ISL_20325344|A_/_H3N2	Madagascar/04114/2025
EPI4995249|NA|A/Madagascar/04205/2025|EPI_ISL_20325350|A_/_H3N2	Madagascar/04205/2025
EPI4995311|NA|A/Madagascar/04289/2025|EPI_ISL_20325358|A_/_H3N2	Madagascar/04289/2025
EPI4873990|NA|A/Madagascar/04036/2025|EPI_ISL_20282202|A_/_H3N2	Madagascar/04036/2025
EPI4995264|NA|A/Madagascar/04234/2025|EPI_ISL_20325352|A_/_H3N2	Madagascar/04234/2025
EPI4634303|NA|A/Madagascar/02865/2025|EPI_ISL_20142029|A_/_H3N2	Madagascar/02865/2025
EPI5179021|NA|A/Madagascar/3927/2025|EPI_ISL_20373560|A_/_H3N2	Madagascar/3927/2025
EPI5178802|NA|A/Madagascar/3323/2025|EPI_ISL_20373532|A_/_H3N2	Madagascar/3323/2025
EPI4974666|NA|A/Madagascar/04248/2025|EPI_ISL_20316004|A_/_H3N2	Madagascar/04248/2025
EPI4995327|NA|A/Madagascar/04307/2025|EPI_ISL_20325360|A_/_H3N2	Madagascar/04307/2025
EPI4995319|NA|A/Madagascar/04305/2025|EPI_ISL_20325359|A_/_H3N2	Madagascar/04305/2025
EPI4873934|NA|A/Madagascar/03985/2025|EPI_ISL_20282195|A_/_H3N2	Madagascar/03985/2025
EPI5191525|NA|A/Madagascar/03237/2025|EPI_ISL_20379669|A_/_H3N2	Madagascar/03237/2025
EPI4832092|NA|A/Madagascar/03974/2025|EPI_ISL_20264914|A_/_H3N2	Madagascar/03974/2025
EPI4832007|NA|A/Madagascar/03840/2025|EPI_ISL_20264903|A_/_H3N2	Madagascar/03840/2025
