DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Madagascar vs Africa
EPI1347649|NA|B/Kilifi/114/2016|EPI_ISL_336393|B	#95a5a6
EPI854623|NA|B/Tanzania/2196/2016|EPI_ISL_236902|B	#95a5a6
EPI834855|NA|B/South_Africa/R3315/2016|EPI_ISL_233780|B	#95a5a6
EPI823869|NA|B/South_Africa/R3037/2016|EPI_ISL_231726|B	#95a5a6
EPI859094|NA|B/Egypt/6082/2016|EPI_ISL_237678|B	#95a5a6
EPI1849764|NA|B/Madagascar/322/2020|EPI_ISL_1180164|B	#c0392b
EPI1705797|NA|B/Madagascar/4273/2019|EPI_ISL_413849|B	#c0392b
EPI1705524|NA|B/Madagascar/4181/2019|EPI_ISL_413814|B	#c0392b
EPI1704002|NA|B/Madagascar/6679/2019|EPI_ISL_413417|B	#c0392b
EPI1544870|NA|B/Madagascar/893/2019|EPI_ISL_377615|B	#c0392b
EPI1705516|NA|B/Madagascar/4789/2019|EPI_ISL_413813|B	#c0392b
EPI986242|NA|B/Madagascar/6005/2016|EPI_ISL_261271|B	#c0392b
EPI986238|NA|B/Madagascar/5014/2016|EPI_ISL_261269|B	#c0392b
EPI986246|NA|B/Madagascar/6379/2016|EPI_ISL_261273|B	#c0392b
EPI1166450|NA|B/Madagascar/3833/2017|EPI_ISL_296533|B	#c0392b
EPI1166458|NA|B/Madagascar/3832/2017|EPI_ISL_296534|B	#c0392b
EPI986248|NA|B/Madagascar/6556/2016|EPI_ISL_261274|B	#c0392b
EPI986244|NA|B/Madagascar/6265/2016|EPI_ISL_261272|B	#c0392b
EPI1481267|NA|B/Tanzania/1613/2019|EPI_ISL_362439|B	#95a5a6
EPI1368974|NA|B/Niger/6247/2018|EPI_ISL_341144|B	#95a5a6
EPI2643816|NA|B/Kenya/KHDSS220539/2021|EPI_ISL_17996214|B	#95a5a6
EPI4234340|NA|B/Kenya/W087/2021|EPI_ISL_19822181|B	#95a5a6
EPI1727885|NA|B/Mauritius/I-66/2020|EPI_ISL_426265|B	#95a5a6
EPI2644232|NA|B/Kenya/KHDSS240817/2021|EPI_ISL_17996150|B	#95a5a6
EPI1715079|NA|B/Congo/9738/2019|EPI_ISL_415903|B	#95a5a6
EPI1513449|NA|B/Kenya/4/2019|EPI_ISL_369130|B	#95a5a6
EPI1705508|NA|B/Madagascar/4482/2019|EPI_ISL_413812|B	#c0392b
EPI1849757|NA|B/Madagascar/358/2020|EPI_ISL_1180163|B	#c0392b
EPI1849725|NA|B/Madagascar/343/2020|EPI_ISL_1180151|B	#c0392b
EPI1849733|NA|B/Madagascar/344/2020|EPI_ISL_1180160|B	#c0392b
EPI1704010|NA|B/Madagascar/7265/2019|EPI_ISL_413418|B	#c0392b
EPI1715007|NA|B/Congo/9774/2019|EPI_ISL_415894|B	#95a5a6
EPI2036509|NA|B/Madagascar/1898/2021|EPI_ISL_12709836|B	#c0392b
EPI2036533|NA|B/Madagascar/1640/2021|EPI_ISL_12709839|B	#c0392b
EPI2036469|NA|B/Madagascar/581/2022|EPI_ISL_12709831|B	#c0392b
EPI2036461|NA|B/Madagascar/2408/2021|EPI_ISL_12709830|B	#c0392b
EPI2036557|NA|B/Madagascar/1828/2021|EPI_ISL_12709842|B	#c0392b
EPI2036525|NA|B/Madagascar/3139/2021|EPI_ISL_12709838|B	#c0392b
EPI2036592|NA|B/Madagascar/2623/2021|EPI_ISL_12709847|B	#c0392b
EPI2036541|NA|B/Madagascar/2477/2021|EPI_ISL_12709840|B	#c0392b
EPI2036563|NA|B/Madagascar/5467/2021|EPI_ISL_12709843|B	#c0392b
EPI2036501|NA|B/Madagascar/1087/2021|EPI_ISL_12709835|B	#c0392b
EPI2036517|NA|B/Madagascar/1451/2021|EPI_ISL_12709837|B	#c0392b
EPI1239269|NA|B/Mali/025/2018|EPI_ISL_311570|B	#95a5a6
EPI1804514|NA|B/Togo/34/2020|EPI_ISL_534692|B	#95a5a6
EPI2620903|NA|B/Togo/25/2023|EPI_ISL_17981337|B	#95a5a6
EPI1182460|NA|B/Cote_D_Ivoire/1911/2017|EPI_ISL_300149|B	#95a5a6
EPI825754|NA|B/Rwanda/683/2016|EPI_ISL_232234|B	#95a5a6
EPI899108|NA|B/Kenya/011/2016|EPI_ISL_245312|B	#95a5a6
EPI1917251|NA|B/South_Africa/8978/2021|EPI_ISL_4379884|B	#95a5a6
EPI2466812|NA|B/Agadir/150/2022|EPI_ISL_17225819|B	#95a5a6
EPI2292781|NA|B/South_Africa/R13163/2022|EPI_ISL_16522434|B	#95a5a6
EPI2213466|NA|B/SouthAfrica/PET25547/2022|EPI_ISL_15726030|B	#95a5a6
EPI2445945|NA|B/Mozambique/6282/2022|EPI_ISL_17102572|B	#95a5a6
EPI2285184|NA|B/South_Africa/R10905/2022|EPI_ISL_16459155|B	#95a5a6
EPI2466740|NA|B/Dakar/01/2022|EPI_ISL_17225688|B	#95a5a6
EPI2620951|NA|B/Togo/378/2023|EPI_ISL_17981343|B	#95a5a6
EPI2453661|NA|B/Burkina_Faso/2758/2022|EPI_ISL_17125402|B	#95a5a6
EPI3841637|NA|B/Madagascar/03535/2024|EPI_ISL_19687195|B	#c0392b
EPI3516383|NA|B/Madagascar/1039/2024|EPI_ISL_19354748|B	#c0392b
EPI3516375|NA|B/Madagascar/447/2024|EPI_ISL_19354747|B	#c0392b
EPI3841282|NA|B/Madagascar/03535/2024|EPI_ISL_19687143|B	#c0392b
EPI3949575|NA|B/Madagascar/3461/2024|EPI_ISL_19726507|B	#c0392b
EPI3949561|NA|B/Madagascar/2898/2024|EPI_ISL_19726505|B	#c0392b
EPI3949568|NA|B/Madagascar/3131/2024|EPI_ISL_19726506|B	#c0392b
EPI3841379|NA|B/Madagascar/03297/2024|EPI_ISL_19687156|B	#c0392b
EPI4084474|NA|B/Madagascar/03297/2024|EPI_ISL_19774320|B	#c0392b
EPI3841227|NA|B/Madagascar/03301/2024|EPI_ISL_19687135|B	#c0392b
EPI4216739|NA|B/Madagascar/02705/2024|EPI_ISL_19817127|B	#c0392b
EPI3949630|NA|B/Madagascar/3628/2024|EPI_ISL_19726514|B	#c0392b
EPI3949731|NA|B/Madagascar/3155/2024|EPI_ISL_19726528|B	#c0392b
EPI4216747|NA|B/Madagascar/03087/2024|EPI_ISL_19817128|B	#c0392b
EPI3841493|NA|B/Madagascar/03087/2024|EPI_ISL_19687174|B	#c0392b
EPI3949467|NA|B/Madagascar/2722/2024|EPI_ISL_19726492|B	#c0392b
EPI3516441|NA|B/Madagascar/1381/2024|EPI_ISL_19354756|B	#c0392b
EPI3949769|NA|B/Madagascar/2913/2024|EPI_ISL_19726534|B	#c0392b
EPI4216569|NA|B/Madagascar/03043/2024|EPI_ISL_19817101|B	#c0392b
EPI4216579|NA|B/Madagascar/02934/2024|EPI_ISL_19817103|B	#c0392b
EPI3841390|NA|B/Madagascar/02934/2024|EPI_ISL_19687158|B	#c0392b
EPI4216587|NA|B/Madagascar/02841/2024|EPI_ISL_19817104|B	#c0392b
EPI3841463|NA|B/Madagascar/03151/2024|EPI_ISL_19687170|B	#c0392b
EPI3841414|NA|B/Madagascar/02841/2024|EPI_ISL_19687162|B	#c0392b
EPI3841250|NA|B/Madagascar/03215/2024|EPI_ISL_19687138|B	#c0392b
EPI4084738|NA|B/Madagascar/03215/2024|EPI_ISL_19774346|B	#c0392b
EPI3534955|NA|B/Antananarivo/02029/2024|EPI_ISL_19382064|B	#95a5a6
EPI4084502|NA|B/Madagascar/03232/2024|EPI_ISL_19774322|B	#c0392b
EPI3841401|NA|B/Madagascar/03232/2024|EPI_ISL_19687160|B	#c0392b
EPI3949424|NA|B/Madagascar/3366/2024|EPI_ISL_19726486|B	#c0392b
EPI4216595|NA|B/Madagascar/02785/2024|EPI_ISL_19817106|B	#c0392b
EPI3841441|NA|B/Madagascar/02785/2024|EPI_ISL_19687167|B	#c0392b
EPI4134073|NA|B/Madagascar/2824/2024|EPI_ISL_19790205|B	#c0392b
EPI3516489|NA|B/Madagascar/1365/2024|EPI_ISL_19354762|B	#c0392b
EPI4216575|NA|B/Madagascar/02912/2024|EPI_ISL_19817102|B	#c0392b
EPI3841581|NA|B/Madagascar/02912/2024|EPI_ISL_19687188|B	#c0392b
EPI3949513|NA|B/Madagascar/3045/2024|EPI_ISL_19726498|B	#c0392b
EPI4639106|NA|B/Madagascar/01754/2025|EPI_ISL_20144968|B	#c0392b
EPI4216537|NA|B/Madagascar/03160/2024|EPI_ISL_19817096|B	#c0392b
EPI3841270|NA|B/Madagascar/03160/2024|EPI_ISL_19687141|B	#c0392b
EPI3841477|NA|B/Madagascar/03603/2024|EPI_ISL_19687171|B	#c0392b
EPI3841024|NA|B/Madagascar/03603/2024|EPI_ISL_19687107|B	#c0392b
EPI3841174|NA|B/Madagascar/03363/2024|EPI_ISL_19687128|B	#c0392b
EPI4084674|NA|B/Madagascar/03363/2024|EPI_ISL_19774340|B	#c0392b
EPI3949715|NA|B/Madagascar/3596/2024|EPI_ISL_19726526|B	#c0392b
EPI2193087|NA|B/Ghana/4590/2022|EPI_ISL_15364164|B	#95a5a6
EPI2757881|NA|B/Madagascar/1092/2023|EPI_ISL_18304062|B	#c0392b
